motif,oxidation,barrier,renewal,copper_yield,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
triangle,0.16,1.45,1.0,0.07180472095608399,0.07180472095608399,3,127,4.713091873040117e-12,7.853995231954514e-13,2.47737941272419e-12,0.0553252386969878,0.0006709839295012962,0.8620689655175401
path4,0.16,1.45,1.0,0.051222266576677694,0.051222266576677694,4,679,2.9492416895974476e-11,-7.422451542282715e-12,1.94210203474654e-11,0.043832253998850934,0.00047864983405776685,0.862068965516296
star4,0.16,1.45,1.0,0.08970472181883839,0.08970472181883839,4,740,8.78560870591991e-11,-6.979361533154815e-12,-9.608541740036003e-11,0.041306695381185164,0.0008382516637509437,0.8620689655163385
square,0.16,1.45,1.0,0.09730787706825522,0.09730787706825522,4,842,9.750077791859187e-11,-6.9684258363622575e-12,9.0288443388431e-11,0.05452086388058158,0.0009092998472019663,0.8620689655163505
single,0.16,1.45,3.1622776601683795,0.0,0.0,1,3,3.8169736360499977e-13,-1.0625181290357943e-16,0.0,0.0,0.0,0.9518402685247292
pair,0.16,1.45,3.1622776601683795,0.0,0.0,2,10,3.953357629491999e-13,-1.5232259897857148e-13,-2.2737367544323206e-13,0.004421710437248209,0.0,0.9518402685247064
path3,0.16,1.45,3.1622776601683795,0.0015345796393445375,0.00485276691124848,3,94,2.773726243000967e-13,-4.349194615560492e-13,-8.303531473519143e-13,0.00567319187029774,1.433998021418521e-05,0.9518402685246985
triangle,0.16,1.45,3.1622776601683795,0.0028335677146520194,0.00896052788261845,3,127,5.72122085929529e-11,1.8526465084267585e-12,5.925345283874783e-11,0.008232474261735272,2.6478459485161853e-05,0.951840268524876
path4,0.16,1.45,3.1622776601683795,0.0022366436169936467,0.007072888143777211,4,679,7.842943165732282e-11,-1.530994081511139e-12,-7.60957928613859e-11,0.006300730996910125,2.09004631868859e-05,0.9518402685246601
star4,0.16,1.45,3.1622776601683795,0.0036104174183789186,0.011417142346022448,4,740,2.484472489817461e-10,-1.7486151415724294e-12,-2.454912800819997e-10,0.006151143530702856,3.373778268651657e-05,0.9518402685246521
square,0.16,1.45,3.1622776601683795,0.00437650778699692,0.013839732804373313,4,842,3.2683056747077746e-10,-2.3817683936222522e-12,-3.2265291133315444e-10,0.008184813739336856,4.089656442836129e-05,0.9518402685246591
